_class_name,_created_at,_object_id,_updated_at,areaName,locationName,projectName
Project,2014-06-23T18:40:00.779Z,xCQsniTHOS,2014-06-23T18:40:41.358Z,Kitchener,Toronto,14-501 Apple
Project,2014-06-23T18:40:03.717Z,QcYYVmEAnN,2014-06-23T18:40:41.769Z,Lincoln,Toronto,14-501 Apple
Project,2014-06-23T18:40:05.266Z,6H9swwrvBd,2014-06-23T18:40:42.181Z,Milton,Toronto,14-501 Apple
Project,2014-06-23T18:40:09.280Z,PXBxcu1bMV,2014-06-23T18:40:42.643Z,Oshawa,Toronto,14-501 Apple
Project,2014-06-23T18:40:12.787Z,wjX8JwFQCH,2014-06-23T18:40:43.027Z,Puslinch,Toronto,14-501 Apple
Project,2014-06-24T12:48:32.558Z,4po12lSaky,2014-06-24T12:49:35.634Z,De_Soto,Kansas_City,14-501 Apple
Project,2014-06-24T12:48:35.188Z,LmzMUt8iMf,2014-06-24T12:49:36.023Z,Gardner,Kansas_City,14-501 Apple
Project,2014-06-16T13:04:33.479Z,wzF9nSBXm9,2014-06-16T13:05:41.537Z,Elgin,Chicago,14-501 Apple
Project,2014-06-24T12:48:52.254Z,lZm20ph8Aq,2014-06-24T12:49:37.557Z,KC_ne_v6,Kansas_City,14-501 Apple
Project,2014-06-24T12:48:58.993Z,l7M8T3OIQP,2014-06-24T12:49:38.018Z,KC_ne_v7,Kansas_City,14-501 Apple
Project,2014-06-16T13:04:44.414Z,mQxyW0bGrq,2014-06-16T13:05:43.215Z,Mundelein,Chicago,14-501 Apple
Project,2014-06-25T11:47:32.718Z,lhry9L27sM,2014-06-25T11:48:24.203Z,Oresund_Bridge_v2,Malmo,14-501 Apple (AFOC)
Project,2014-06-25T11:47:36.148Z,FFdlRVV2gT,2014-06-25T11:48:24.685Z,Lund_v2,Malmo,14-501 Apple (AFOC)
Project,2014-06-25T11:47:39.233Z,nerj4N9OYO,2014-06-25T11:48:26.281Z,Malmo_v2,Malmo,14-501 Apple (AFOC)
Project,2014-06-25T11:50:01.264Z,zDHyxjwqJu,2014-06-25T11:51:31.235Z,Bears_Ears,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:05.187Z,nvSPdSwuJB,2014-06-25T11:51:32.410Z,Browns_Rim,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:14.645Z,OJh6uI3j2O,2014-06-25T11:51:33.144Z,Cedar_Mesa,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:18.560Z,alqTI0KNU0,2014-06-25T11:51:33.481Z,Cedar_Point,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:26.271Z,zY38h1XW30,2014-06-25T11:51:34.185Z,Knoll,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:27.940Z,UINeiHyQJI,2014-06-25T11:51:34.529Z,Loop,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:34.642Z,1UrP21YW9j,2014-06-25T11:51:35.348Z,Ocean_Point,Canyonlands,14-501 Apple
Project,2014-06-25T11:50:43.508Z,WGflc6Mql2,2014-06-25T11:51:36.093Z,Sams_Mesa,Canyonlands,14-501 Apple
Project,2014-06-25T17:33:29.732Z,gRvXGVM43n,2014-06-25T17:33:57.229Z,Alvsborg_v2,Gothenburg,14-501 Apple (AFOC)
Project,2014-06-25T17:33:37.666Z,kJVsOZl6bi,2014-06-25T17:33:58.200Z,Ockero,Gothenburg,14-501 Apple (AFOC)
Project,2014-06-25T17:33:41.311Z,KigkY5ef9r,2014-06-25T17:33:58.653Z,Partille,Gothenburg,14-501 Apple (AFOC)
Project,2014-06-26T15:37:34.295Z,9vgF8HHnS4,2014-06-26T15:38:15.765Z,Anchorage,Anchorage,14-501 Apple
Project,2014-06-26T15:37:48.454Z,IeMq7QX4wO,2014-06-26T15:38:16.755Z,Chugiak,Anchorage,14-501 Apple
Project,2014-06-18T12:21:51.510Z,b8adkyZumF,2014-06-18T12:22:08.899Z,Kanata,Ottawa,14-501 Apple
Project,2014-06-26T15:37:55.582Z,TFomHo4RnH,2014-06-26T15:38:17.522Z,Fire_Island,Anchorage,14-501 Apple
Project,2014-06-18T12:22:45.197Z,8yF9Z3v1BO,2014-06-18T12:22:56.883Z,Skywalk_v2,Grand_Canyon,14-501 Apple
Project,2014-06-18T12:23:31.769Z,EKlEwEyUVR,2014-06-18T12:23:56.198Z,Sidney,Victoria,14-501 Apple
Project,2014-06-26T15:39:21.463Z,1vRa5QQ6rw,2014-06-26T15:39:53.403Z,Mokotow,Warsaw,14-501 Apple (AFOC)
Project,2014-06-26T15:39:25.607Z,wDuJBAHb4I,2014-06-26T15:39:53.883Z,Pruszkow,Warsaw,14-501 Apple (AFOC)
Project,2014-06-20T13:57:42.832Z,7QFYncZiqh,2014-06-20T13:58:21.969Z,New_Campus,San_Francisco,14-501 Apple
Project,2014-06-26T15:39:39.200Z,Ebj9ECNtBo,2014-06-26T15:39:58.358Z,Wawer_v2,Warsaw,14-501 Apple (AFOC)
Project,2014-06-26T15:40:29.059Z,uc7hDO11f3,2014-06-26T15:40:50.635Z,Skywalk_v3,Grand_Canyon,14-501 Apple
Project,2014-06-23T13:11:35.048Z,2HBV96rSji,2014-06-23T13:11:43.934Z,Prague_CC,Prague,14-501 Apple (AFOC)
Project,2014-06-26T15:41:16.189Z,WinqwpbzAF,2014-06-26T15:41:38.540Z,Saint_Albert,Edmonton,14-501 Apple
Project,2014-06-26T15:41:27.602Z,3Nxy9o7Cvo,2014-06-26T15:41:43.165Z,Woodbend,Edmonton,14-501 Apple
Project,2014-06-26T15:41:57.070Z,qPzKTtaOaT,2014-06-26T15:42:14.878Z,Niagara_v3,Buffalo,14-501 Apple
Project,2014-06-27T12:00:48.499Z,xXH4EXMYiI,2014-06-27T12:01:48.543Z,PA Pipeline,McKim & Creed,14-546
Project,2014-06-30T13:17:40.752Z,b5xK4bVp3R,2014-06-30T13:17:53.625Z,Arkansas,Arkansas,14-538
Project,2014-06-30T16:24:07.966Z,Ni87Aicqg5,2014-06-30T19:48:41.952Z,Boxdorf_v2,Nuremberg,14-501 Apple (AFOC)
Project,2014-06-30T16:24:10.901Z,knpSEgyVl5,2014-06-30T19:48:41.507Z,Langwasser,Nuremberg,14-501 Apple (AFOC)
Project,2014-06-30T16:24:18.703Z,50NFVLOVlz,2014-07-01T12:26:41.773Z,Nuremberg_CC,Nuremberg,14-501 Apple (AFOC)
Project,2014-06-30T16:24:20.273Z,LgiINTXh3i,2014-06-30T19:48:40.603Z,Vach,Nuremberg,14-501 Apple (AFOC)
Project,2014-06-24T12:48:40.565Z,PEzX2h6Q9j,2014-06-24T12:49:36.405Z,Grandview_v2,Kansas_City,14-501 Apple
Project,2014-07-02T12:33:14.678Z,zIlDm3sMl1,2014-07-02T12:34:32.149Z,Birkenkopf_v2,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-02T12:33:47.192Z,kIG8i2rIy6,2014-07-02T12:34:32.633Z,Ditzingen,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-02T12:33:58.357Z,JeOxgGm0Hp,2014-07-02T12:34:33.212Z,Esslingen_v2,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-02T12:34:03.304Z,Hl2fD7Y9BB,2014-07-02T12:34:33.772Z,Fellbach,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-02T12:34:15.682Z,IJYn91pvSQ,2014-07-02T12:34:36.098Z,Stuttgart_CC,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-02T12:35:26.530Z,JdVj8ao4c0,2014-07-02T12:35:49.125Z,Eindhoven,Eindhoven,14-501 Apple (AFOC)
Project,2014-07-02T12:35:32.477Z,CcgWz1u5tD,2014-07-02T12:35:49.482Z,Valkenswaard,Eindhoven,14-501 Apple (AFOC)
Project,2014-06-25T11:47:39.233Z,nerj4N9OYO,2014-06-25T11:48:26.281Z,Malmo_v2,Malmo,14-501 Apple (AFOC)
Project,2014-07-03T13:23:40.926Z,ZwIyCCAdce,2014-07-03T13:24:19.879Z,Camelback,Sequoia,14-501 Apple
Project,2014-07-03T13:23:45.518Z,7p15Dy2lE0,2014-07-03T13:24:20.216Z,Guyot,Sequoia,14-501 Apple
Project,2014-07-03T13:23:49.043Z,xXIbChZK7V,2014-07-03T13:24:20.552Z,Kaweah,Sequoia,14-501 Apple
Project,2014-07-03T13:23:53.112Z,ubr0UQ19H9,2014-07-03T13:24:20.874Z,Milk_Ranch,Sequoia,14-501 Apple
Project,2014-06-25T11:50:26.271Z,zY38h1XW30,2014-06-25T11:51:34.185Z,Knoll,Canyonlands,14-501 Apple
Project,2014-07-03T13:24:43.976Z,Vc47FpBvN1,2014-07-03T13:25:20.809Z,Columbus,Columbus,14-501 Apple
Project,2014-07-03T13:24:46.281Z,1WA2JOxalA,2014-07-03T13:25:21.157Z,Dublin,Columbus,14-501 Apple
Project,2014-07-03T13:24:55.454Z,Ddfh8XnXMr,2014-07-03T13:25:21.615Z,Reynoldsburg,Columbus,14-501 Apple
Project,2014-07-03T13:25:01.990Z,WL0BiXozQt,2014-07-03T13:25:26.083Z,Westerville,Columbus,14-501 Apple
Project,2014-07-03T13:25:48.281Z,uq6Rtbt9j1,2014-07-03T13:26:51.376Z,Rembertow,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:25:59.720Z,DR8kfTCDty,2014-07-03T13:26:51.709Z,Klaudyn_v2,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:26:05.620Z,oQ5jqduz4j,2014-07-03T13:26:52.029Z,Klaudyn_v3,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:26:09.519Z,mg3EEt0Gtx,2014-07-03T13:26:52.352Z,Mokotow_v2,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:26:18.830Z,DkvpAGKl3D,2014-07-03T13:26:52.662Z,Pruszkow_v2,Warsaw,14-501 Apple (AFOC)
Project,2014-06-26T15:37:34.295Z,9vgF8HHnS4,2014-06-26T15:38:15.765Z,Anchorage,Anchorage,14-501 Apple
Project,2014-07-03T13:26:27.699Z,EoV7haZhSZ,2014-07-03T13:26:53.348Z,Wawer_v3,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:26:34.981Z,JMNfChQssc,2014-07-03T13:26:53.692Z,Wawer_v4,Warsaw,14-501 Apple (AFOC)
Project,2014-07-03T13:27:29.744Z,lrmhVYjabx,2014-07-07T19:25:40.885Z,Quebec,Quebec_Levis,14-501 Apple
Project,2014-07-03T13:27:35.323Z,CCcF4959k8,2014-07-07T19:25:39.374Z,St_Pierre,Quebec_Levis,14-501 Apple
Project,2014-06-26T15:39:19.500Z,bxj13W2ucx,2014-06-26T15:39:52.868Z,Klaudyn,Warsaw,14-501 Apple (AFOC)
Project,2014-06-26T15:39:21.463Z,1vRa5QQ6rw,2014-06-26T15:39:53.403Z,Mokotow,Warsaw,14-501 Apple (AFOC)
Project,2014-07-07T19:22:24.545Z,d5gKrjx2nf,2014-07-07T19:22:40.034Z,Rheinstetten,Karlsruche,14-501 Apple (AFOC)
Project,2014-07-07T19:23:03.429Z,NIJS4y7tca,2014-07-07T19:23:57.370Z,Daly_City,San_Francisco,14-501 Apple
Project,2014-07-07T19:23:07.559Z,cBCS9LgCHr,2014-07-07T19:23:57.761Z,Outer_Sunset,San_Francisco,14-501 Apple
Project,2014-07-07T19:23:32.867Z,hBoATFHnyU,2014-07-07T19:24:01.547Z,Twin_Peaks_v2,San_Francisco,14-501 Apple
Project,2014-07-08T13:23:36.373Z,1CRhGg6cYb,2014-07-08T13:23:52.050Z,Devils_Tower,Devils_Tower,14-501 Apple
Project,2014-07-10T12:02:18.085Z,MhzRK7ogaU,2014-07-10T12:03:14.496Z,Delafield,Milwaukee,14-501 Apple
Project,2014-06-26T15:41:21.032Z,awpJ7JPDVe,2014-06-26T15:41:39.052Z,Sherwood_Park,Edmonton,14-501 Apple
Project,2014-07-10T12:02:22.006Z,qLznckCDMq,2014-07-10T12:03:15.183Z,Menomonee,Milwaukee,14-501 Apple
Project,2014-06-26T15:41:57.070Z,qPzKTtaOaT,2014-06-26T15:42:14.878Z,Niagara_v3,Buffalo,14-501 Apple
Project,2014-07-10T12:02:58.056Z,5vdNvOmcwH,2014-07-10T12:03:14.119Z,Waukesha,Milwaukee,14-501 Apple
Project,2014-07-10T12:03:49.167Z,RFBiR2Zuf0,2014-07-10T12:04:23.569Z,Campbellton,Atlanta,14-501 Apple
Project,2014-06-30T16:24:07.966Z,Ni87Aicqg5,2014-06-30T19:48:41.952Z,Boxdorf_v2,Nuremberg,14-501 Apple (AFOC)
Project,2014-06-30T16:24:10.901Z,knpSEgyVl5,2014-06-30T19:48:41.507Z,Langwasser,Nuremberg,14-501 Apple (AFOC)
Project,2014-07-10T12:03:57.219Z,UkH9yicvNE,2014-07-10T12:04:25.031Z,Riverdale,Atlanta,14-501 Apple
Project,2014-07-10T12:04:00.161Z,wKNJh2Ylpv,2014-07-10T12:04:30.545Z,Rosewell,Atlanta,14-501 Apple
Project,2014-07-10T12:04:01.980Z,URlyyTDBoN,2014-07-10T12:04:26.673Z,Smarna,Atlanta,14-501 Apple
Project,2014-07-10T12:04:04.649Z,9xs6qnrk9r,2014-07-10T12:04:27.047Z,Stockbridge,Atlanta,14-501 Apple
Project,2014-07-10T12:04:51.201Z,59ei02qWO9,2014-07-10T12:05:10.265Z,Northwood,Toledo,14-501 Apple
Project,2014-07-10T12:04:54.062Z,Yt7OeG6XBc,2014-07-10T12:05:10.599Z,Perrysburg,Toledo,14-501 Apple
Project,2014-07-02T12:34:15.682Z,IJYn91pvSQ,2014-07-02T12:34:36.098Z,Stuttgart_CC,Stuttgart,14-501 Apple (AFOC)
Project,2014-07-10T12:05:01.441Z,2PNtG8UorN,2014-07-10T12:05:12.346Z,Temperance,Toledo,14-501 Apple
Project,2014-07-02T12:35:32.477Z,CcgWz1u5tD,2014-07-02T12:35:49.482Z,Valkenswaard,Eindhoven,14-501 Apple (AFOC)
Project,2014-07-10T12:05:54.231Z,3by2rxMhah,2014-07-10T12:06:11.996Z,San_Lucas,King_City,14-501 Apple
Project,2014-07-03T13:23:40.926Z,ZwIyCCAdce,2014-07-03T13:24:19.879Z,Camelback,Sequoia,14-501 Apple
Project,2014-07-03T13:23:45.518Z,7p15Dy2lE0,2014-07-03T13:24:20.216Z,Guyot,Sequoia,14-501 Apple
Project,2014-07-10T17:53:50.260Z,e1JkDIYBHY,2014-07-10T17:54:08.549Z,Fairport_v2,Rochester,14-501 Apple
Project,2014-07-10T17:53:58.226Z,kStSERTTlT,2014-07-10T17:54:09.324Z,Rochester,Rochester,14-501 Apple
Project,2014-07-03T13:24:43.976Z,Vc47FpBvN1,2014-07-03T13:25:20.809Z,Columbus,Columbus,14-501 Apple
Project,2014-07-14T11:55:12.878Z,uekiLf3biB,2014-07-14T11:55:44.067Z,Hwy_25_v2,Pinnacles,14-501 Apple
Project,2014-07-03T13:25:01.990Z,WL0BiXozQt,2014-07-03T13:25:26.083Z,Westerville,Columbus,14-501 Apple
Project,2014-07-14T11:56:52.091Z,vSc0qR790R,2014-07-14T11:57:37.256Z,Bradley_v2,King_City,14-501 Apple
Project,2014-07-14T11:56:56.384Z,OnZ4kOJL2l,2014-07-14T11:57:37.613Z,Chualar_v2,King_City,14-501 Apple
Project,2014-07-14T11:57:04.009Z,sezqpDBHok,2014-07-14T11:57:37.957Z,King_City_v2,King_City,14-501 Apple
Project,2014-07-14T11:57:09.084Z,QYILpzVYbN,2014-07-14T11:57:38.289Z,Gonzales_v2,King_City,14-501 Apple
Project,2014-07-14T11:57:16.297Z,itIGmB2NnL,2014-07-14T11:57:39.855Z,San_Lucas_v2,King_City,14-501 Apple
Project,2014-07-14T11:58:22.001Z,93VSifXAXg,2014-07-14T11:58:51.041Z,Green_Mts,Black_Caynon,14-501 Apple
Project,2014-07-14T11:58:25.983Z,pNE7CJ0Src,2014-07-14T11:58:51.369Z,Poison_Spring,Black_Caynon,14-501 Apple
Project,2014-07-14T11:59:11.768Z,9yRbXLMftk,2014-07-14T11:59:53.030Z,Negro_Hill,Joshua_Tree,14-501 Apple
Project,2014-07-14T11:59:20.058Z,eko9FInvcz,2014-07-14T11:59:53.435Z,Twentynine_Palms,Joshua_Tree,14-501 Apple
Project,2014-07-07T19:21:56.583Z,d6gPPHzRTa,2014-07-07T19:22:36.854Z,Karlsruche,Karlsruche,14-501 Apple (AFOC)
Project,2014-07-07T19:22:16.472Z,M4IS9PzfEM,2014-07-07T19:22:37.722Z,Phinztal,Karlsruche,14-501 Apple (AFOC)
Project,2014-07-14T12:02:12.085Z,WRpdeNt8SU,2014-07-14T12:04:33.460Z,Lassen_Peak,Lassen_Volcanos,14-501 Apple
Project,2014-07-14T12:05:04.141Z,cpst34EhF0,2014-07-14T12:05:19.140Z,Meteor_Crater,Meteor_Crater,14-501 Apple
Project,2014-07-14T12:05:39.265Z,Nbkd26wFti,2014-07-14T12:06:16.672Z,Agathla,Monument_Valley,14-501 Apple
Project,2014-07-07T19:23:16.214Z,eClv7n3WaX,2014-07-07T19:23:58.102Z,San_Francisco_v2,San_Francisco,14-501 Apple
Project,2014-07-14T12:05:41.817Z,QE4TomkQVS,2014-07-14T12:06:17.428Z,Stagecoach,Monument_Valley,14-501 Apple
